config_hash,geometry,dim,curvature,epochs,batch_size,lr,lr_proto,weight_decay,dropout,seed,tree_loss_weight,tree_hierarchy,train_seconds,loss,top1_accuracy,top5_accuracy,balanced_accuracy,num_samples,split,checkpoint,device,embedding_dim,epoch,dropped_missing_feature_rows,prototype_tree_pearson,prototype_tree_spearman,class_center_tree_pearson,class_center_tree_spearman,mean_tree_distance_all_predictions,median_tree_distance_all_predictions,mean_tree_distance_mistakes,median_tree_distance_mistakes,mistakes_within_tree_distance_2,tree_distortion_scale,tree_distortion_average,tree_distortion_worst_case,dendrogram_cluster_precision,dendrogram_cluster_recall,dendrogram_cluster_f1,dendrogram_exact_cluster_matches,dendrogram_num_predicted_clusters,dendrogram_num_ground_truth_clusters,knn_siblings_valid_queries,knn_siblings_recall_at_5,knn_siblings_recall_at_10,knn_cousins_valid_queries,knn_cousins_recall_at_5,knn_cousins_recall_at_10,frechet_style,frechet_sample_size,frechet_trials,frechet_nearest_prototype_accuracy,frechet_target_prototype_distance_mean,frechet_target_prototype_distance_std,frechet_best_other_margin_mean,frechet_holdout_same_style_distance_mean
43b1e4c048,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,1,3.0,default,8.037574291229248,2.8634363961382827,0.4619794439212153,0.8655255722533884,0.3585734353569484,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/43b1e4c048/ckpt.pt,mps,8,30,0,0.988182293053244,0.9895416548600382,0.6768039871148727,0.6756907652796194,1.2071577740469268,1.0,2.2437019560088287,1.0,0.7461755080295304,0.2290839677142421,1.641494418326218,8.60425490407266,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1942697414395527,0.2869205683671093,11892,0.2693407332660612,0.3455264043054154,Cubism,8,100,0.76,0.4009762634336948,0.2026343255837582,0.027703046798706,0.8803623026609421
0caddee060,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,2,0.1,default,7.812443017959595,1.1563461627427545,0.6542320134310634,0.94762704229966,0.5372619733557736,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/0caddee060/ckpt.pt,mps,8,30,0,0.1251009541792236,0.1440637929314131,0.3230556616690637,0.3430610739824216,0.9785430572048648,0.0,2.8300568450971104,2.0,0.6479156797726197,1.8386717693894667,1.749688277310887,4.8820086261760345,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1430817610062893,0.2110994642441183,11892,0.2486545576858392,0.3236629667003027,Cubism,8,100,0.96,2.3734136414527893,0.4870250741476704,1.809316873550415,4.413666415214538
ac93d9402b,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,2,0.3,default,8.106061220169067,1.2914660813245027,0.6453462184185742,0.9343188239629828,0.5249192128997803,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/ac93d9402b/ckpt.pt,mps,8,30,0,0.3607596691060298,0.3707677448598711,0.4177571395952567,0.4464812361375536,0.9849719503705828,0.0,2.7772774506408036,2.0,0.657545318092599,1.7527435681906418,1.714507517252768,5.299380919480794,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1437223386908921,0.2159911483810855,11892,0.2493272788429196,0.324167507568113,Cubism,8,100,0.96,2.537725695371628,0.5723971489524072,1.8125245797634124,4.480226883888244
34cf8e5134,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,2,1.0,default,8.266578912734985,1.7574982052230896,0.5911715326972687,0.9177347364972768,0.4630905247559012,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/34cf8e5134/ckpt.pt,mps,8,30,0,0.6793804019794253,0.6900137832400074,0.5583036286068901,0.5677153375168752,1.078088530363212,0.0,2.637019230769231,2.0,0.6777844551282052,1.109334567312724,1.6401434992235149,6.545766824481479,0.08,0.1428571428571428,0.1025641025641025,2,25,14,17172,0.1521663172606568,0.2281621243885394,11892,0.260427177934746,0.336192398250925,Cubism,8,100,0.98,2.847831870317459,0.7038926776915032,0.945205557346344,3.3106045150756835
bf335cfecc,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,2,3.0,default,7.749791860580444,2.782778369848814,0.485852340199009,0.8745342123582163,0.3868215462599798,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/bf335cfecc/ckpt.pt,mps,8,30,0,0.9828709841231236,0.982883337344391,0.6898406906597296,0.6895035555941067,1.1784939191679291,1.0,2.29213125199108,1.0,0.7327174259318254,0.2615771473178839,1.6118744601471078,8.48181908886326,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1749359422315397,0.2665385511297461,11892,0.2663134880591994,0.3401446350487723,Cubism,8,100,0.89,0.473725374341011,0.1846452166583657,0.1113122150301933,0.9046319848299028
c7eba5f0d9,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,0,0.1,default,8.436186790466309,1.0629606072778983,0.6595553007657344,0.9581098235125508,0.5521831695714504,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/c7eba5f0d9/ckpt.pt,mps,16,30,0,0.0955772375014387,0.1084845407660541,0.3049988562451132,0.3230384704647266,0.9601572417181934,0.0,2.820303103199423,2.0,0.6545585758960789,2.1315418773891976,1.7496886171315051,5.0167835075542975,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1395294665734917,0.2088865595154903,11892,0.2505045408678102,0.3234106962663975,Cubism,8,100,0.96,2.398668977022171,0.4452362090368488,2.1132953798770906,4.711386766433716
57afcec70a,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,0,0.3,default,8.261598110198975,1.109941011535209,0.6561975349084804,0.9557348183940052,0.5461043822560383,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/57afcec70a/ckpt.pt,mps,16,30,0,0.3328502092593106,0.3230582553707118,0.4136981373307347,0.4246770157689215,0.9578231849637608,0.0,2.785969509290138,2.0,0.6576941400666985,1.9909868214409512,1.715759174802238,5.426994256280545,0.08,0.1428571428571428,0.1025641025641025,2,25,14,17172,0.1337060330771022,0.2019566736547868,11892,0.2480659266733939,0.3239152371342079,Cubism,8,100,0.93,2.918836878538132,0.4630221819802037,1.6666956198215486,4.4727922582626345
af105be746,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,0,1.0,default,7.875172853469849,1.3195895043331674,0.6435444903976086,0.9474223004790958,0.5281106088110671,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/af105be746/ckpt.pt,mps,16,30,0,0.7093454385487157,0.7194410442865523,0.5905425580635862,0.5944230099723946,0.9832521190778428,0.0,2.7584147041929925,2.0,0.6652498564043653,1.5590969913698145,1.6463684756901908,7.024761262320923,0.08,0.1428571428571428,0.1025641025641025,2,25,14,17172,0.141043559282553,0.2154088050314465,11892,0.2455432223343424,0.3161789438277834,Cubism,8,100,0.87,2.863793531656265,0.5122988607610015,0.7506851804256439,4.1334322690963745
33985c7474,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,0,3.0,default,8.177736043930054,2.2654581314212816,0.5467016092707097,0.9083985094795464,0.4687887390173358,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/33985c7474/ckpt.pt,mps,16,30,0,0.9490859690672714,0.9516726481526993,0.6464667066829045,0.6430421871459028,1.0955734818394005,0.0,2.416892502258356,1.0,0.7276422764227642,0.5789556785517377,1.601837638849008,7.941998475640149,0.08,0.1428571428571428,0.1025641025641025,2,25,14,17172,0.1646284649429303,0.24446773817843,11892,0.2609317188025563,0.3335015136226034,Cubism,8,100,0.63,1.1427605977654458,0.398338388355246,0.0369950106739997,2.130537325143814
5c1f079ede,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,1,0.1,default,7.906023979187012,1.0683355008368165,0.6561156381802546,0.9598706031694034,0.5568016926957655,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/5c1f079ede/ckpt.pt,mps,16,30,0,0.1454007886007818,0.1655830827877932,0.320299334389419,0.3492127864405881,0.978993489210106,0.0,2.846868301976661,2.0,0.6490831150273875,2.14625029661846,1.7452820735573755,4.652312232813639,0.0,0.0,0.0,0,25,14,17172,0.1328325180526438,0.2024807826694619,11892,0.2519340733266061,0.3221493440968718,Cubism,8,100,0.91,2.9213465988636016,0.5463927951278396,1.9737723982334137,5.2500807619094845
